adr,title,relevance_tier,critical_hardware,mopar_categories,evidence_use,applicability_status,official_url,corpus_path,corpus_sha256,corpus_status,corpus_commit,current_source_check
2/01,Side Door Latches and Hinges,ancillary interior/body closure,"Door latches, hinges and retention hardware",No direct category collected in this packet,"Catalog commonality could identify shared service parts, but cannot prove door-retention performance.",LIKELY; confirm approval-pathway applicability.,https://www.legislation.gov.au/F2006L01362/latest/text,corpus/au/adr/raw_html/ADR_2_01__F2006L01362.html,fad78a87e36e2c5525aaad2ee11a6a95a17c61d0fbc8a05b9d26c0b6ac5f51e6,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2006L01362/latest/text
3/03,Seats and Seat Anchorages,core,"Seat frames, tracks/adjusters, recliners, attachment bolts, anchor points",front-seat-adjusters; front-seats-first-row; rear-seats-second-row,Identical OEM service part numbers can support shared seat hardware/configuration; not strength/test proof.,LIKELY BUILD-APPLICABLE; exact model/first-manufacture basis TBC.,https://www.legislation.gov.au/F2006L01377/latest/text,corpus/au/adr/raw_html/ADR_3_03__F2006L01377.html,740caa83f14fa4257a28a36e9a93ab321f8e7f9d6845df6e54c94b7a5b926ff6,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2006L01377/latest/text
4/05,Seatbelts,core,"Retractors, buckles, pretensioners, webbing assemblies",seat-belts,Part-number overlap supports common components; variant/colour/side qualifiers must match.,LIKELY BUILD-APPLICABLE.,https://www.legislation.gov.au/F2012L00468/latest/text,corpus/au/adr/raw_html/ADR_4_05__F2012L00468.html,975a516b2524b511c01111e468207c16a6c5edbaab172d8899d2487641b83735,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2012L00468/latest/text
5/05,Anchorages for Seatbelts,core,"Belt anchorage bolts, brackets, anchor points and related seat/floor interfaces",seat-belts; front-seat-adjusters,Catalog data may identify common attaching hardware; structural anchorage performance remains unproven.,LIKELY BUILD-APPLICABLE.,https://www.legislation.gov.au/F2006L01386/latest/text,corpus/au/adr/raw_html/ADR_5_05__F2006L01386.html,f1084924edf46ee30cfdfcd7841d255dae4dd93d159c23ca4120370487e15e19,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2006L01386/latest/text
8/01,Safety Glazing Material,ancillary interior,Windscreen/side/rear glazing and markings,Not collected (outside requested interior hardware packet),Parts catalog is secondary; physical marking/approval evidence is required.,LIKELY; outside present hardware comparison.,https://www.legislation.gov.au/F2005L03908/latest/text,corpus/au/adr/raw_html/ADR_8_01__F2005L03908.html,96ac9bfbe9f71906f92eb89bcebb8db5be2270a29909014ceb2bf62ad3f220d0,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2005L03908/latest/text
10/02,Steering Column,conditional core,"Steering column, intermediate shaft, wheel and driver airbag interface",steering-column; steering-wheel; air-bags,"Commonity may be assessed, but ADR 10 performance/exemption is not proven by catalog matching.",CONDITIONAL: ADR 10/02 clause 6.2 exemption may apply if ADR 69 compliance using a steering-column airbag is established.,https://www.legislation.gov.au/F2008L02387/latest/text,corpus/au/adr/raw_html/ADR_10_02__F2008L02387.html,28bce4ff3d9020cba02938a77ef5b1505e7a9c8eaa8c0ff094cd802093a51f80,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2008L02387/latest/text
11/00,Internal Sun Visors,ancillary interior,Sun visors and attachments,Not collected,Service-part matching is supportive only; geometry/energy requirements require inspection/specification.,LIKELY; outside present core packet.,https://www.legislation.gov.au/F2006L01785/latest/text,corpus/au/adr/raw_html/ADR_11_00__F2006L01785.html,a8eb079b35d315061edfd48880ddab03854a4a12bd58653929a12917e186e516,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2006L01785/latest/text
14/02,Rear Vision Mirrors,ancillary interior,Interior mirror and mounts; exterior mirror system,Not collected,Part commonality does not prove fields of view.,LIKELY; outside present core packet.,https://www.legislation.gov.au/F2006L02663/latest/text,corpus/au/adr/raw_html/ADR_14_02__F2006L02663.html,012c0857eac9224e30baea72ccab56907804232fed4df3bfd75eebe1ead4e5fb,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2006L02663/latest/text
18/03,Instrumentation,ancillary interior,"Instrument cluster, tell-tales and controls",instrument-panel,"Part matching cannot prove symbol, visibility or calibration compliance.",LIKELY BUILD-APPLICABLE.,https://www.legislation.gov.au/F2006L01392/latest/text,corpus/au/adr/raw_html/ADR_18_03__F2006L01392.html,616a2aa78128350c0d15be84be00030a069319582b47676a4adfa975b976de81,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2006L01392/latest/text
21/00,Instrument Panel,core interior,"Instrument panel, interior impact surfaces, seat-back zones and power closure controls",instrument-panel; front-seats-first-row,Shared parts support common interior architecture but not energy-absorption or control performance.,LIKELY BUILD-APPLICABLE.,https://www.legislation.gov.au/F2006L01786/latest/text,corpus/au/adr/raw_html/ADR_21_00__F2006L01786.html,24ab9e409a52a1c8ada2a62a50330e1ba2789c715b8bd38dedac45330f88fcdf,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2006L01786/latest/text
22/00,Head Restraints,core,"Front and rear head restraints, guides, seat-back frames and locks",front-seats-first-row; rear-seats-second-row; front-seat-adjusters,"Part-number overlap is relevant to geometry/locking commonality, subject to installed-position verification.",LIKELY BUILD-APPLICABLE.,https://www.legislation.gov.au/F2006L01410/latest/text,corpus/au/adr/raw_html/ADR_22_00__F2006L01410.html,fd0e8f0093b6edc8c7e49095fe4b4d517a7cb7687d124d2c0afc12ab28ee3464,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2006L01410/latest/text
34/02,Child Restraint Anchorages and Child Restraint Anchor Fittings,core,"Top-tether and lower anchorage hardware, rear seat interfaces",rear-seats-second-row,Catalog matching can identify common anchors/brackets; location and strength require controlled evidence.,LIKELY 2017 BUILD-APPLICABLE EDITION; ADR 34/03 was made later in 2017.,https://www.legislation.gov.au/F2012L00703/latest/text,corpus/au/adr/raw_html/ADR_34_02__F2012L00703.html,e26cf0d07f9655c5797310bcf8c5517967187d05e6b0811b6ee78ebbc3571f72,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2012L00703/latest/text
69/00,Full Frontal Impact Occupant Protection,system-level,"Airbags, belts/pretensioners, seats, steering column and sensors as a restraint system",air-bags; seat-belts; front seats; steering wheel/column,Catalog commonality alone cannot establish crash-performance equivalence or calibration.,LIKELY BUILD-APPLICABLE.,https://www.legislation.gov.au/F2006L01455/latest/text,corpus/au/adr/raw_html/ADR_69_00__F2006L01455.html,78b9165e86b7080aa2f195650813e28f740b6759fa31ec506307b0b0660a510f,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2006L01455/latest/text
72/00,Dynamic Side Impact Occupant Protection,system-level,"Side-curtain and seat-mounted airbags, seats, belts, door/side structure and sensors",air-bags; seat-belts; front seats,Shared part numbers support architecture commonality only; crash structure/calibration remains outside catalog proof.,LIKELY BUILD-APPLICABLE.,https://www.legislation.gov.au/F2005L03992/latest/text,corpus/au/adr/raw_html/ADR_72_00__F2005L03992.html,cc39f770910335db93966130cfe04b01c60636ac5664d3de2204755ec86aa8fd,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2005L03992/latest/text
73/00,Offset Frontal Impact Occupant Protection,system-level,Frontal restraint hardware and occupant compartment as a system,air-bags; seat-belts; front seats; steering wheel/column,Catalog commonality is insufficient for offset crashworthiness.,POTENTIALLY BUILD-APPLICABLE; exact category/date/approval-pathway applicability requires confirmation.,https://www.legislation.gov.au/F2005L03990/latest/text,corpus/au/adr/raw_html/ADR_73_00__F2005L03990.html,1ea4553ab6e21fbfc16eb22a508e63a9b8c009f2a9546abfab77151f601c22c6,downloaded,b2903c330bdd5ef38248709aed9a77dc64d71bf5,HTTP 200; retrieved 2026-07-31; final=https://www.legislation.gov.au/F2005L03990/latest/text
