adr,title,image_only_outcome,visual_component_classes,image_only_basis,official_url_for_adr_identity_only,limitation
2/01,Side Door Latches and Hinges,INSUFFICIENT / NO IMAGE-ONLY PASS,front-door,Direct latch/hinge geometry is not comparably shown; only a small lock-cylinder component family looks similar.,https://www.legislation.gov.au/F2006L01362/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
3/03,Seats and Seat Anchorages,IMAGE-SIMILARITY PASS,front-seat-adjusters | rear-seat-adjusters,"Direct seat frame, track/adjuster and seat-back structures are highly similar or similar with visible differences.",https://www.legislation.gov.au/F2006L01377/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
4/05,Seatbelts,IMAGE-SIMILARITY PASS,seat-belts,Direct restraint assemblies are near-identical in the strongest mixed-model pair.,https://www.legislation.gov.au/F2012L00468/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
5/05,Anchorages for Seatbelts,PARTIAL / NO IMAGE-ONLY PASS,seat-belts | front-seat-adjusters,"Belts and seat frames look similar, but the vehicle structural anchorage points are not comparably exposed.",https://www.legislation.gov.au/F2006L01386/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
8/01,Safety Glazing Material,INSUFFICIENT COMPARABLE IMAGE,none,No comparable glazing image pair was captured.,https://www.legislation.gov.au/F2005L03908/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
10/02,Steering Column,IMAGE-SIMILARITY PASS,steering-column | steering-wheel | air-bags,Steering column geometry is highly similar and steering-wheel/airbag interfaces are visibly similar.,https://www.legislation.gov.au/F2008L02387/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
11/00,Internal Sun Visors,IMAGE-SIMILARITY PASS,headliners-visors,The roof-liner/visor attachment architecture is similar with visible differences.,https://www.legislation.gov.au/F2006L01785/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
14/02,Rear Vision Mirrors,INSUFFICIENT COMPARABLE IMAGE,none,No comparable mirror assembly pair was captured.,https://www.legislation.gov.au/F2006L02663/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
18/03,Instrumentation,INSUFFICIENT / NO IMAGE-ONLY PASS,instrument-panel,"Dashboard shells are comparable, but direct cluster/tell-tale geometry is not comparably depicted.",https://www.legislation.gov.au/F2006L01392/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
21/00,Instrument Panel,IMAGE-SIMILARITY PASS,instrument-panel,Full dashboard shells show similar visible architecture with substantial local differences.,https://www.legislation.gov.au/F2006L01786/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
22/00,Head Restraints,IMAGE-SIMILARITY PASS,rear-seats-second-row | front-seat-adjusters,"Head restraints, guides and seat-back families are visibly similar with configuration differences.",https://www.legislation.gov.au/F2006L01410/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
25/02,Anti-Theft Lock,INSUFFICIENT / NO IMAGE-ONLY PASS,steering-column | instrument-panel,The direct steering/ignition lock or immobilizer mechanism is not visibly isolated for comparison.,https://www.legislation.gov.au/F2006L02664/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
29/00,Side Door Strength,VISUALLY DIFFERENT / NO IMAGE-ONLY PASS,front-door | aperture-pillars | floor-pans,Door/body structural views show major two-door/four-door geometry and segmentation differences.,https://www.legislation.gov.au/F2006L01429/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
34/02,Child Restraint Anchorages and Child Restraint Anchor Fittings,INSUFFICIENT / NO IMAGE-ONLY PASS,rear-seats-second-row | rear-seat-adjusters,"Rear-seat architecture looks similar, but child-restraint anchors are not visibly isolated or comparable.",https://www.legislation.gov.au/F2012L00703/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
42/04,General Safety Requirements,IMAGE-SIMILARITY PASS,instrument-panel | steering-wheel | seats | headliners-visors,Several directly depicted interior assemblies show similar visible geometry across mixed models.,https://www.legislation.gov.au/F2005L03996/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
69/00,Full Frontal Impact Occupant Protection,IMAGE-SIMILARITY PASS — DEPICTED HARDWARE ONLY,air-bags | seat-belts | front-seat-adjusters | steering-column | steering-wheel,Multiple frontal-restraint hardware classes are highly similar or visibly similar; no crash-performance inference is made.,https://www.legislation.gov.au/F2006L01455/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
72/00,Dynamic Side Impact Occupant Protection,PARTIAL / NO IMAGE-ONLY PASS,air-bags | seat-belts | front-door | aperture-pillars,"Belts look similar, but direct side-airbag and side-structure coverage is insufficient and body structures visibly differ.",https://www.legislation.gov.au/F2005L03992/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
73/00,Offset Frontal Impact Occupant Protection,IMAGE-SIMILARITY PASS — DEPICTED HARDWARE ONLY,air-bags | seat-belts | front-seat-adjusters | steering-column | steering-wheel,Multiple frontal-restraint hardware classes are highly similar or visibly similar; occupant-cell/crash performance is not addressed.,https://www.legislation.gov.au/F2005L03990/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
85/00,Pole Side Impact Performance,INSUFFICIENT / NO IMAGE-ONLY PASS,air-bags | front-door | aperture-pillars,"Direct pole-side restraint/structure coverage is insufficient; body-side structures visibly differ. Probably not mandatory for these 2017 vehicles, but applicability is separate from this image screen.",https://www.legislation.gov.au/F2015L02109/latest/text,"User-defined image-similarity screen only; not part identity, fitment, interchangeability, engineering equivalence or ADR compliance."
