adr,title,mapped_categories,challenger_direct_candidates,charger_direct_candidates,exact_direct_common_parts,exact_supporting_common_parts,assessment,applicability_note,claim_limit
8/01,Safety Glazing Material,glass-mirror | front-door,9,9,0,28,FUNCTIONAL-ARCHITECTURE PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
11/00,Internal Sun Visors,headliners-visors,9,15,0,1,FUNCTIONAL-ARCHITECTURE PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
14/02,Rear Vision Mirrors,exterior-mirror | glass-mirror,13,66,0,2,FUNCTIONAL-ARCHITECTURE PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
18/03,Instrumentation,instrument-cluster | instrument-panel,22,27,0,13,FUNCTIONAL-ARCHITECTURE PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
21/00,Instrument Panel,instrument-panel,22,31,3,13,EXACT-DIRECT PART MATCH PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
25/02,Anti-Theft Lock,locks | steering-column | instrument-cluster | instrument-panel,1,1,1,22,EXACT-DIRECT PART MATCH PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
29/00,Side Door Strength,front-door | aperture-pillars | floor-pans,20,21,0,33,FUNCTIONAL-ARCHITECTURE PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
34/02,Child Restraint Anchorages and Fittings,rear-seats | rear-seat-adjusters | floor-pans,0,0,0,12,EXACT-SUPPORTING PART MATCH PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
42/04,General Safety Requirements,exterior-mirror | headliners-visors | instrument-panel | steering-wheel | front-door,85,164,40,55,EXACT-DIRECT PART MATCH PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
69/00,Full Frontal Impact Occupant Protection,air-bags | seat-belts | instrument-panel | steering-column | steering-wheel | floor-pans,37,41,20,45,EXACT-DIRECT PART MATCH PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
72/00,Dynamic Side Impact Occupant Protection,air-bags | seat-belts | front-door | aperture-pillars | rear-seats,17,17,4,43,EXACT-DIRECT PART MATCH PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
73/00,Offset Frontal Impact Occupant Protection,air-bags | seat-belts | instrument-panel | steering-column | steering-wheel | floor-pans,37,41,20,45,EXACT-DIRECT PART MATCH PASS,Potentially/likely applicable per controlled ADR matrix; exact pathway/date basis remains conditional.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
85/00,Pole Side Impact Performance,air-bags | front-door | aperture-pillars | roof | rear-seats,9,5,1,39,EXACT-DIRECT PART MATCH PASS,Probably not mandatory for these 2017 vehicles; retained as a conservative similarity screen.,"Catalog/functional similarity only; not VIN installation, test performance, calibration, field-of-view, marking or ADR compliance proof."
