category,visual_grade,confidence,image_a,model_a,image_b,model_b,pixel_score,foreground_dice,phash_distance,visible_commonalities,visible_differences_or_limits,decision_basis
air-bags,HIGHLY SIMILAR,High,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-03.png,Chrysler 300,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-03.png,Charger,0.853304,0.699183,6,"Passenger-airbag module, steering-wheel airbag family and lower bolster occupy the same three-part exploded layout.","Steering-wheel hub/spoke detail differs; the drawing does not show calibration, sensors or deployment behaviour.","visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
front-seat-adjusters,SIMILAR WITH VISIBLE DIFFERENCES,High,evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-03.png,Chrysler 300,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-02.png,Charger,0.758966,0.581176,10,"Both drawings show matching seat-back frame, cushion/track frame, side shield and floor-foot arrangement.","Spring field, side hardware and small attachment layout differ.","visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
rear-seat-adjusters,HIGHLY SIMILAR,High,evidence/mopar/illustrations/2C3CCAEG4HH586472/rear-seat-adjusters__assembly-01.png,Chrysler 300,evidence/mopar/illustrations/2C3CDXGJ2HH530684/rear-seat-adjusters__assembly-01.png,Charger,0.664822,0.42093,16,"Twin seat-back frames, perforated panels, central latch/bracket cluster and peripheral hardware have closely corresponding geometry.",Callout numbering and several small peripheral pieces differ.,"visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
rear-seats-second-row,SIMILAR WITH VISIBLE DIFFERENCES,Medium,evidence/mopar/illustrations/2C3CCAEG4HH586472/rear-seats-second-row__assembly-07.png,Chrysler 300,evidence/mopar/illustrations/2C3CDXGJ2HH530684/rear-seats-second-row__assembly-01.png,Charger,0.627052,0.350828,18,"Both show split rear seat-backs, head restraints, side bolsters, cushions and lower trim in a comparable exploded arrangement.","Backrest split/configuration, cushion segmentation and accessory layout differ; child anchors are not visibly isolated.","visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
seat-belts,HIGHLY SIMILAR,Very high,evidence/mopar/expanded_adrs/illustrations/Challenger/seat-belts/assembly-02.png,Challenger,evidence/mopar/illustrations/2C3CDXGJ2HH530684/seat-belts__assembly-02.png,Charger,1.0,1.0,0,"The best pair is visually indistinguishable after pixel normalization; webbing paths, retractors, buckles and callout placement coincide.","Image identity does not prove fitted identity, webbing specification, pretensioner behaviour or anchorage strength.","visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
steering-column,HIGHLY SIMILAR,High,evidence/mopar/illustrations/2C3CCAEG4HH586472/steering-column__assembly-01.png,Chrysler 300,evidence/mopar/illustrations/2C3CDXGJ2HH530684/steering-column__assembly-01.png,Charger,0.58138,0.326957,22,"Angled column shaft, upper housing, mounting bracket, coupling and fastener locations closely correspond.",One drawing includes an additional large shroud/module and callout layout differs.,"visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
steering-wheel,SIMILAR WITH VISIBLE DIFFERENCES,High,evidence/mopar/expanded_adrs/illustrations/Challenger/steering-wheel/assembly-01.png,Challenger,evidence/mopar/illustrations/2C3CCAEG4HH586472/steering-wheel__assembly-01.png,Chrysler 300,0.641131,0.37144,16,"Both show a round three-spoke wheel, central airbag/hub interface, side switch/trim modules and lower spoke trim.","Spoke trim, hub detail and peripheral module shapes differ.","visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
headliners-visors,SIMILAR WITH VISIBLE DIFFERENCES,Medium,evidence/mopar/expanded_adrs/illustrations/Challenger/headliners-visors/assembly-01.png,Challenger,evidence/mopar/expanded_adrs/illustrations/Charger/headliners-visors/assembly-01.png,Charger,0.568377,0.41511,28,Both show a large roof-liner panel with front visor/console attachment groups and perimeter fasteners.,"Roof openings, panel contour and quantity/location of smaller attachments differ; visor geometry is small in the source view.","visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
instrument-panel,SIMILAR WITH VISIBLE DIFFERENCES,Medium,evidence/mopar/illustrations/2C3CCAEG4HH586472/instrument-panel__assembly-01.png,Chrysler 300,evidence/mopar/illustrations/2C3CDXGJ2HH530684/instrument-panel__assembly-01.png,Charger,0.554849,0.33003,26,"Both show a full-width dashboard shell with instrument binnacle, centre stack, vent groups, glove-box region and lower trim.","Main shell contour, centre-stack shape, component count and callout arrangement visibly differ.","visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
front-door,GENERIC ONLY,Medium,evidence/mopar/door_variants/illustrations/Challenger_R-T_5.7L/assembly-03.png,Challenger,evidence/mopar/door_variants/illustrations/Charger_R-T_5.7L/assembly-03.png,Charger,0.703398,0.389942,10,The strongest pair shows a similar small lock-cylinder/escutcheon component family and callout layout.,The direct latch and hinge assemblies are not comparably depicted; other paired drawings use different views and visibly different door structures.,"visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
aperture-pillars,GENERIC ONLY,High,evidence/mopar/expanded_adrs/illustrations/Challenger/aperture-pillars/assembly-02.png,Challenger,evidence/mopar/expanded_adrs/illustrations/Charger/aperture-pillars/assembly-02.png,Charger,0.557634,0.300373,28,Both contain body aperture/pillar members and sill pieces.,"Two-door and four-door aperture structures, pillar count, opening geometry and assembly segmentation visibly differ.","visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
floor-pans,GENERIC ONLY,High,evidence/mopar/expanded_adrs/illustrations/Challenger/floor-pans/assembly-01.png,Challenger,evidence/mopar/expanded_adrs/illustrations/Charger/floor-pans/assembly-02.png,Charger,0.552351,0.308346,26,Both depict underbody/floor structural panels.,"Panel boundaries, tunnel/floor segmentation, crossmembers and layout visibly differ.","visible pixels only; no part-number identity, description, applicability, dimensions or test evidence used"
